1,4491912
2,9827480
3,9946236
4,11144458
5,9281304
6,9012892
7,5232402
8,5087186
9,5299784
10,5566330
11,5126910
12,5381192
13,4989404
14,4759510
15,4557234
16,4590972
17,4684088
18,4746652
19,4874476
20,5116918
21,5539804
22,6486760
23,5396604
24,5824458
25,5132698
26,5271910
27,4275936
28,4299286
29,4380336
30,4402620
31,4452156
32,5259816
33,5610984
34,5728806
35,4690356
36,5003158
37,5370144
38,5774808
39,5728306
40,4805888
41,4542680
42,5299916
43,4770596
44,4482774
45,3731702
46,4455578
47,4471698
48,4075876
49,5263548
50,6355768
51,5662518
52,6687074
53,4790644
54,5430560
55,4657438
56,5225880
57,6463438
58,6081652
59,6355824
60,5528434
61,5235758
62,6661830
63,6075458
64,6532610
65,7928402
66,7116756
67,9497512
68,9225678
69,9108722
70,7528630
71,8585246
72,8950676
73,8063230
74,5742164
75,4428798
76,5219894
77,5050300
78,4540878
79,6093832
80,6067550
81,5922334
82,5741796
83,5788024
84,5323464
85,6407774
86,7038694
87,5623502
88,5927358
89,5980948
90,4384454
91,4293912
92,4450770
93,4308476
94,5141700
95,4307920
96,5012820
97,5009078
98,4764326
99,4589030
100,5187542
