1,5911266
2,6363342
3,7219836
4,6974892
5,6607062
6,6949818
7,6317604
8,6389406
9,6392502
10,6320160
11,6414030
12,6499854
13,7069626
14,6316164
15,6349482
16,7230078
17,6891948
18,6893046
19,6860862
20,6596352
21,6853824
22,6819822
23,6372234
24,6528744
25,6371226
26,7342920
27,6849774
28,6496236
29,6381990
30,7098984
31,7230132
32,6901902
33,6937776
34,6801174
35,6950250
36,6973668
37,6845076
38,6705846
39,6400476
40,6466320
41,7116732
42,6499170
43,6440526
44,6155910
45,6370434
46,6566868
47,6498864
48,6313968
49,6967476
50,7274052
51,7004646
52,6933258
53,6983190
54,6390468
55,6849036
56,6486858
57,6698502
58,6359760
59,6449418
60,7151220
61,6364044
62,6518538
63,6489990
64,7413930
65,6198228
66,6750432
67,6789330
68,7103736
69,6617268
70,5617890
71,6408630
72,6194610
73,6036066
74,5714946
75,6096348
76,6180030
77,4927806
78,6247098
79,6074910
80,5455530
81,6044094
82,6505308
83,6673860
84,6106320
85,4726008
86,6181002
87,6345900
88,3963546
89,2395854
90,943506
91,2080152
92,3454596
93,4222494
94,2486970
95,1520622
96,2189772
97,2224944
98,4304322
99,6558930
100,6607962
