1,4860566
2,7651516
3,7396602
4,8379558
5,8043114
6,8752040
7,5266262
8,5686632
9,2500520
10,4303812
11,3993666
12,3715064
13,3098280
14,2935448
15,2509308
16,2963982
17,3020476
18,3857368
19,3920724
20,3620930
21,2185684
22,3350472
23,2972400
24,3483368
25,3950278
26,3539136
27,3995778
28,2620372
29,1533192
30,3383966
31,1581806
32,2610222
33,3707816
34,2069218
35,1870006
36,937996
37,421804
38,512384
39,186468
40,474112
41,242302
42,338708
43,277162
44,101478
45,154220
46,482662
47,839780
48,994584
49,1231918
50,1364692
51,1502594
52,1753870
53,1737298
54,1655984
55,2847424
56,3872526
57,3396078
58,3844736
59,2422622
60,1987622
61,2116776
62,2455748
63,2940766
64,3317338
65,3705902
66,3590030
67,3067912
68,2037338
69,1704154
70,2485932
71,2032898
72,1700176
73,838536
74,1234746
75,942040
76,462838
77,783390
78,692244
79,532246
80,502750
81,715358
82,1052520
83,740348
84,1127094
85,1215346
86,859048
87,676690
88,569830
89,406118
90,527542
91,574496
92,426762
93,534480
94,458558
95,403318
96,359060
97,309344
98,24924
99,0
100,0
