1,7777938
2,8488962
3,8004636
4,6885666
5,7604172
6,7686756
7,7182090
8,7492968
9,6989202
10,5991642
11,3959820
12,5740344
13,6703038
14,5341122
15,4040316
16,5297562
17,5782410
18,4727718
19,4120884
20,4434840
21,4583610
22,4933422
23,4252284
24,4154922
25,4916718
26,4390578
27,4336182
28,4764960
29,5505138
30,5345532
31,5706216
32,5951484
33,4983174
34,5092074
35,5128776
36,4369338
37,5030874
38,5270202
39,3643380
40,1530900
41,1309392
42,453762
43,345276
44,8478
45,1440
46,1440
47,21600
48,1440
49,0
50,0
51,1440
52,0
53,0
54,0
55,0
56,0
57,1440
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,155664
70,0
71,1440
72,0
73,48582
74,634104
75,89262
76,232380
77,189774
78,266238
79,168606
80,169938
81,430686
82,1425438
83,2004444
84,1631250
85,1392372
86,1505520
87,1323162
88,1378242
89,1501254
90,1519596
91,2471310
92,3471660
93,2731626
94,3889494
95,4027860
96,4467672
97,4477986
98,3429234
99,4201920
100,2349054
